;;;;;;;;;;;;;;x,,,
HAS_NO_UNION_TAG;has culture union;n'a pas de culture syndicale;besitzt KEINE kulturellen Unionen;;;;;;;;;;;x
UNIT_BUILD_TIME_IW;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;$VAL$ días.;;;;;;;;;x;
breton;Breton;Breton;Bretonisch;;;;;;;;;;;x
occitan;Occitan;Occitain;Occitanisch;;;;;;;;;;;x
HAS_GOODS;produces ;;;;;;;;;;;;;x,,,
assyrian;Assyrian;;;;;;;;;;;;;x,,,
xhosa;Xhosa;;;;;;;;;;;;;x,,,
shinto;Shinto;;;;;;;;;;;;;x,,,
sephardic;Sephardic;;;;;;;;;;;;x,,,
picard;Picard;;;;;;;;;;;;x,,,
jewish_cultures;Jewish;;;;;;;;;;;;x,,,
far_east_asian;Far East Asian;;;;;;;;;;;;x,,,
arabic;Arabic;;;;;;;;;;;;x,,,
pan_albanian;Albanian;;;;;;;;;;;;x,,,
HAS_SIEGE;Under Siege;;;;;;;;;;;;x,,,
separatist_rebels_title;Patriot;;;;;;;;;;;;x,,,
separatist_rebels_name;$CULTURE$ Patriots;;;;;;;;;;;;x,,,
separatist_rebels_desc;Patriot rebels dream of unification with their cultural kin under a free banner, and any province they gain control of will eventually defect to a neighboring country of their culture.;;;;;;;;;;;;x,,
separatist_rebels_army;$CULTURE$ Patriots;;;;;;;;;;;;x,,,
turkish_nationalist_rebels_title;Turkish Nationalist;;;;;;;;;;;;x,,,
turkish_nationalist_rebels_name;Turkish Nationalists;;;;;;;;;;;;x,,,
turkish_nationalist_rebels_desc;Turkish Nationalists seek to topple the Ottoman monarchy, replacing it with a liberal republic.;;;;;;;;;;;;x,,
turkish_nationalist_rebels_army;Turkish Nationalists;;;;;;;;;;;;x,,,
socialist_rebels_title;Militant Socialist;;;;;;;;;;;;x,,,
socialist_rebels_name;Militant Socialists;;;;;;;;;;;;x,,,
socialist_rebels_army;Militant Socialists;;;;;;;;;;;;x,,,
indian_nationalists_title;Indian Nationalist;Pan-nationalistes;Pan-Nationalisten;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indian_nationalists_name;Indian Nationalists;$UNION_ADJ$ - Pan-nationalistes;$UNION_ADJ$ Pan-Nationalisten;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indian_nationalists_desc;Indian nationalists seek to unify the sub-continent into a free and independent nation-state, by any means necessary. This includes breaking free from foreign oppressors and uniting with their cultural kin.;;;;;;;;;;;;x,,
indian_nationalists_army;Indian Nationalists;$UNION$ - Jeunes brigades;Junge $UNION$ Brigaden;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
christino_rebels_title;Christino;;;;;;;;;;;;x,,,
christino_rebels_name;Christinos;;;;;;;;;;;;x,,,
christino_rebels_desc;These rebels support the royal line of Ferdinand VII, and consider the current king to be a pretender. They intend to reinstall the rightful queen, and restore the liberal reforms enacted by the previous royal line.;;;;;;;;;;;;x,
christino_rebels_army;Christinos;;;;;;;;;;;;x,,,
independence_rebels_title;Independence;;;;;;;;;;;;x,,,
independence_rebels_name;Independence Rebels;;;;;;;;;;;;x,,,
independence_rebels_desc;These rebels seek to free the country from its vassal status.;;;;;;;;;;;;x,,,
independence_rebels_army;Independence Rebels;;;;;;;;;;;;x,,,
native_rebels_title;Anti-Colonial;;;;;;;;;;;;x,,,
native_rebels_name;Anti-Colonial Rebels;;;;;;;;;;;;x,,,
native_rebels_desc;These rebels seek to restore rulership of the country to its proper native culture.;;;;;;;;;;;;x,,,
native_rebels_army;Anti-Colonial Rebels;;;;;;;;;;;;x,,,
liberal_rebels_desc;In an absolute monarchy, Jacobins will seek to impose a constitutional monarchy. Otherwise, Jacobins will strive to create a democratic government with a liberal ideology and a focus on political reform.;;;;;;;;;;;;;x,
NOT_STRONGER_ARMY_THAN;Does not have a stronger military than ;;;;;;;;;;;;x,,,
STRONGER_ARMY_THAN;Has a stronger military than ;;;;;;;;;;;;x,,,
regular;Regular;;;;;;;;;;;;x,,,
regular_short;Reg;;;;;;;;;;;;x,,,
horse_artillery;Mobile Artillery;;;;;;;;;;;;x,,,
horse_artillery_short;M-art;;;;;;;;;;;;x,,,
no_personality;No Personality;Aucune;Nichts;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
active_p;Active;Actif;Aktiv;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
au_fait; §GAttack +3;Au fait;Sicher;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
apathetic;Apathetic;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
audacious; §GAttack +2 Defence +2;Audacieux;Kühn;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
able;Able;Capable;Fähig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
aweless;Aweless;Casse-cou;Respektlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
aggressive; §GAttack +1;Agressif;Aggressiv;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
arrogant;Arrogant;Arrogant;Arrogant;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
balanced_p; §GDefence +1;Pondéré;Ausgewogen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
bigoted;Bigoted;Sectaire;Engstirnig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
brilliant;Brilliant;Brillant;Brilliant;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
brutish; §GAttack +1;Brutal;Brutal;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
bold; §GAttack +1;Téméraire;Mutig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
brash; §GAttack +1;Impudent;Forsch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
ballsy;Ballsy;Valeureux;Forsch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
bastard; §RDefence -1;Goujat;Bastard;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
cautious; §GDefence +3;Prudent;Vorsichtig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
coward;Coward;Couard;Kleinmütig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
chickenhearted; §RAttack -2;Poltron;Ängstlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
craven;Craven;Veule;Mutlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
competent;Competent;Compétent;Kompetent;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
clever;Clever;Adroit;Clever;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
careless;Careless;Négligent;Achtlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
calm; §RAttack -1;Calme;Ruhig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
cool_minded; §GDefence +2;Serein;Bedachtsam;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
careful;Careful;Attentif;Sorgsam;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
cruel;Cruel;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
choleric; §GAttack +1;Colérique;Cholerisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
charismatic;Charismatic;Charismatique;Charismatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
chivalrous; §GAttack +2;Courtois;Ritterlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
confident;Confident;Confiant;Sicher;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
doughty;Doughty;Vaillant;Tapfer;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
defiant; §GDefence +3;Provocateur;Trotzig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
disciplined; §GAttack +2;Discipliné;Diszipliniert;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
diligent;Diligent;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
dauntless;Dauntless;Déterminé;Unverzagt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
daring; §GAttack +3;Hardi;Draufgängerisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
disorderly;Disorderly;Désordonné;Unordentlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
decisive;Decisive;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
dumb;Dumb;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
diplomatic;Diplomatic;Diplomate;Diplomatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
deeply_religious; §RAttack -1 Defence -1;Très croyant;Tief religiös;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
expert;Expert;Expert;Experte;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
energetic;Energetic;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
efficient; §GAttack +2;Efficace;Effizient;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
emotional;Emotional;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
earnest;Earnest;Sérieux;Ernsthaft;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
fearless;Fearless;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
forgiving;Forgiving;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
fanatic;Fanatic;Fanatique;Fanatisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
gallant;Gallant;Courageux;Galant;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
glory_hound;Glory Hound;Ambitieux;Ruhmsüchtig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
genius;Genius;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
gutsy; §GDefence +1;Brave;Waghalsig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
harsh; §GAttack +1 Defence +1;Dur;Harsch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
hellbent;Hellbent;Acharné;Draufgänger;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
heroic;Heroic;Héroïque;Heroisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
irresponsible;Irresponsible;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
imaginative;Imaginative;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indecisive;Indecisive;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
inspiring;Inspiring;Stimulant;Inspirierend;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
impetuous; §RDefence -2;Impétueux;Ungestüm;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
implacable; §GAttack +3 Defence +3;Implacable;Unerbittlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
imperious; §GAttack +1 §RDefence -2;Autoritaire;Herrisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
irate; §GAttack +1;Furieux;Aufbrausend;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
intuitive;Intuitive;Intuitif;Intuitiv;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
impulsive;Impulsive;Impulsif;Impulsiv;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
incapable;Incapable;Incapable;Unfähig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
indifferent;Indifferent;Indifférent;Gleichgültig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
intelligent;Intelligent;Intelligent;Intelligent;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
inept; §RAttack -1;Inepte;Untauglich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
inefficient; §RAttack -2;Inefficace;Ineffizient;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
keen;Keen;Enthousiaste;Gewitzt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
lilylivered; §RAttack -2;Froussard;Feige;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
lackluster;Lackluster;Terne;Lustlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
merciless; §GAttack +2 Defence +2;Impitoyable;Gnadenlos;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
meticulous;Meticulous;Méticuleux;Genau;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
manful;Manful;Ardent;Männlich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
madman;Madman;Fou;Irrer;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
mediocre;Mediocre;Médiocre;Mittelmäßig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
maladroit;Maladroit;Maladroit;Unbeholfen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
openminded;Openminded;Ouvert d'esprit;Offen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
persistant;Persistant;Persévérant;Hartnäckig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
pompous;Pompous;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
paranoid;Paranoid;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
polite;Polite;Poli;Höflich;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
pusillanimous;Pusillanimous;Pusillanime;Verzagt;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
pisspoor; §RAttack -2;Pitoyable;Arm;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
perverse;Perverse;Entêté;Pervers;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
resourceful; §GDefence +1;Ingénieux;Findig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
respectful;Respectful;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
romantic;Romantic;Romantique;Romantisch;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
relentless; §GAttack +2;Implacable;Unbarmherzig;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
